POS_NEW,POS_7DAYAVG,NEG_NEW,NEG_7DAYAVG,DTH_NEW,DTH_7DAYAVG,TEST_NEW,TEST_7DAYAVG,HOSP_NEW,HOSP_NO_NEW,HOSP_UNK_NEW,POS_FEM_NEW,POS_MALE_NEW,INCREASE
2283,1708.43,10189,8734.57,3,4.57,12472,10443,50,1165,1068,1119,1159,0
1665,1720.29,6655,8806.29,1,4.57,8320,10526.57,34,670,961,863,803,0
1271,1791.71,5525,9145.71,2,4.86,6796,10937.43,39,653,579,622,644,1
1672,1838,10865,9138.14,7,4.43,12537,10976.14,73,983,616,848,820,1
1762,1888.57,11691,9267.14,8,4.43,13453,11155.71,56,1076,630,910,849,1
2392,1939.71,10887,9478,6,4.86,13279,11417.71,76,1246,1070,1201,1189,1
2504,1935.57,12575,9769.57,9,5.14,15079,11705.14,65,1427,1012,1262,1241,1
2817,2011.86,9767,9709.29,7,5.71,12584,11721.14,79,1634,1104,1481,1334,0
2217,2090.71,5806,9588,0,5.57,8023,11678.71,54,855,1308,1136,1074,0
1726,2155.71,6159,9678.57,2,5.57,7885,11834.29,47,864,815,897,830,1
2367,2255,8397,9326,17,7,10764,11581,67,1260,1040,1151,1213,0
2319,2334.57,9473,9009.14,27,9.71,11792,11343.71,91,1535,693,1090,1225,1
2887,2405.29,11474,9093,21,11.86,14361,11498.29,109,1642,1136,1516,1369,0
2745,2439.71,10850,8846.57,5,11.29,13595,11286.29,97,1563,1085,1426,1317,1
2892,2450.43,11192,9050.14,19,13,14084,11500.57,82,1485,1325,1436,1449,0
1865,2400.14,8950,9499.29,5,13.71,10815,11899.43,58,963,844,922,944,0
1696,2395.86,6864,9600,4,14,8560,11995.86,56,799,841,783,912,1
2020,2346.29,9539,9763.14,18,14.14,11559,12109.43,108,1229,683,1036,981,1
2319,2346.29,11188,10008.14,16,12.57,13507,12354.43,141,1412,766,1145,1174,1
3132,2381.29,13524,10301,9,10.86,16656,12682.29,110,1604,1418,1594,1531,0
2988,2416,11834,10441.57,16,12.43,14822,12857.57,138,1614,1236,1467,1518,0
2742,2394.57,11644,10506.14,18,12.29,14386,12900.71,120,1628,994,1400,1340,0
2676,2510.43,7571,10309.14,7,12.57,10247,12819.57,79,1158,1439,1405,1261,0
1956,2547.57,7815,10445,9,13.29,9771,12992.57,56,946,954,1007,938,1
3279,2727.43,11262,10691.14,34,15.57,14541,13418.57,147,1710,1422,1687,1587,0
3107,2840,11435,10726.43,28,17.29,14542,13566.43,153,1630,1324,1640,1463,1
3747,2927.86,11455,10430.86,17,18.43,15202,13358.71,138,1858,1751,1842,1901,1
3861,3052.57,10725,10272.43,21,19.14,14586,13325,135,2022,1704,1933,1925,0
0,2660.86,0,8609,0,16.57,0,11269.86,0,0,0,0,0,1
3928,2839.71,74890,18226,14,17.57,78818,21065.71,127,1944,1857,1984,1935,0
3777,3099.86,38354,22588.71,12,18,42131,25688.57,165,1298,2314,1878,1890,1
4591,3287.29,9070,22275.57,33,17.86,13661,25562.86,218,2194,2179,2396,2185,0
4205,3444.14,5681,21453.57,48,20.71,9886,24897.71,167,2383,1655,2143,2050,0
3413,3396.43,12082,21543.14,22,21.43,15495,24939.57,151,2117,1145,1803,1605,1
